Lot,Wafer,Mask,TestSite,Name,Date,Script ID,Script Owner,Operator,Row,Column,ErrorFlag,Error description,Analysis Wavelength,Rsq of Ref. spectrum,Max transmission of Ref. spec. (dB),Rsq of IV,I at -2V,I at -1V,I at 1V
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:03:18 2019,process LMZ,B2,magdzi83,2,-1,0,No Error,1550.0,0.9971837407679903,-9.15194749592324,0.9999999999999849,3.467994e-10,4.573714e-11,-0.00488411
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:13:52 2019,process LMZ,B2,magdzi83,2,-3,0,No Error,1550.0,0.997230410035588,-10.590606238596136,0.9999999999999198,3.960458e-09,1.951419e-09,-0.00500029
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:17:16 2019,process LMZ,B2,magdzi83,2,2,0,No Error,1550.0,0.9972849591256375,-9.647277879221505,0.999999999999996,1.40475e-09,3.995418e-10,-0.005182757
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:15:33 2019,process LMZ,B2,magdzi83,3,0,0,No Error,1550.0,0.9970625260192243,-9.792436180665426,0.9999999999999845,2.234832e-09,8.534919e-10,-0.005047702
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 08:18:42 2019,process LMZ,B2,magdzi83,-1,-1,1,Rsq. IV. Error,1310.0,0.9980813265705644,-5.7788310050964355,0.9860805895697801,-3.487231e-11,-1.208074e-10,-1.34298e-10
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 08:52:36 2019,process LMZ,B2,magdzi83,-1,-3,1,Rsq. IV. Error,1310.0,0.9991887270847336,-5.75100564956665,0.9758670803411187,-7.341957e-11,-1.187963e-10,-1.255417e-10
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 14:30:54 2019,process LMZ,B2,magdzi83,-1,3,1,Rsq. IV. Error,1310.0,0.9989002487330172,-6.548247337341309,0.9813842295084779,-3.19814e-11,-1.212264e-10,-1.348007e-10
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 11:41:41 2019,process LMZ,B2,magdzi83,-3,-3,1,Rsq. IV. Error,1310.0,0.9988191748211337,-6.358763217926025,0.9816922302877736,-7.446708e-11,-1.176231e-10,-1.280554e-10
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 10:34:03 2019,process LMZ,B2,magdzi83,-3,0,1,Rsq. IV. Error,1310.0,0.9993618345900256,-5.679126262664795,0.9755312129263722,-6.457881e-11,-1.207655e-10,-1.306949e-10
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 15:04:41 2019,process LMZ,B2,magdzi83,-3,2,1,Rsq. IV. Error,1310.0,0.9992179989676018,-6.412485599517822,0.9796098526537919,-6.441127e-11,-1.206398e-10,-1.288096e-10
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 11:07:51 2019,process LMZ,B2,magdzi83,-4,-1,1,Rsq. IV. Error,1310.0,0.9986284701083205,-6.675488471984863,0.9844307649645397,-6.663189e-11,-1.177069e-10,-1.276365e-10
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 12:15:31 2019,process LMZ,B2,magdzi83,0,-4,1,Rsq. IV. Error,1310.0,0.9991418186109573,-6.420361518859863,0.9734810892431293,-7.12408e-11,-1.202628e-10,-1.28223e-10
